Patient ID,Visit#.x,Date of Test.x,Organism,Organism Group,Ampicillin,Ampicillin_RSI,Breed,Sex (0 = female; 1 = male),Neuter status (0 = castrated; 1 = not castrated),Age,Weight (kg),Color (0 = yellow/dark yellow/amber; 1 = straw; 2 = red/pink; 3 = brown/light & dark brown; 4 = other),Clarity (0 = clear; 1 = opaque/cloudy; 2 = SLhazy; 3 = hazy),USG,PH,Protein,Glucose,Ketones,Creatinine,Bilirubin...19,Hemoprotein,Sediment Vol,Volume,Lipid Layer,WBC (simplified),Pyuria (1 if >/=4),RBC (simplified),Crystals (0 = none 1 = rare; 2 = few; 3 = mod; 4 = many),Unknown,Amorphous,Phosphate,CaOx,Oxalate,Triple Phos,Ca Phos,Bilirubin...35,Struvite,Ca Carbonate,Ammonium biurate,Ammonium Urate,Tyrosine,Uric acid,Cholesterol,Cystine,Starch,Na urate,Urate,Biurate,Hemoglobin,Talcom,Epithelial Cells-Transitional,Epithelial Cells-Squamous,Epithelial Cells-Renal,Epithelial Cells-Caudate,Casts-Hyaline,Casts-Granular,Casts-Waxy,Casts-Cellular,Bacteria quantity,Bac Type,Lipid Droplets,Sperm,Growth (0 = growth),1st Organism Grown,Amount (organism/mL)...64,2nd Organism Grown,Amount (organism/mL)...66,3rd Organism Grown,Amount (organism/mL)...68,Underlying conditions (no = 0; yes = 1),Number of vet visits,Hospitalization (no = 0; yes = 1),Duration of hospitalization (days),U-cath placement (no = 0; yes = 1),Duration of U-cath placement (days),Antimicrobial therapy (no = 0; yes = 1),Duration of therapy (days),Antimicrobial class
337991,9510CT,42776,E. coli non-hemolytic,E. Coli,>8,R,K9-LAB,0,0,15.3,28,0,3,1.013,8,0,0,0,0,0,0,0,4.5,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,1,2,1,2,0,0,1,16,Peniciliin
341585,3632CP,42404,E. coli non-hemolytic,E. Coli,>1,Invalid,K9-AFGHAN,1,0,13.4,31.9,0,1,1.033,7,25,0,0,0,3,250,0,5,0,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,2,2,0,0,E. Coli,1 x 10^5,,,,,1,2,0,0,0,0,0,0,
351086,4500CT,42731,E. coli non-hemolytic,E. Coli,>8,R,K9-MIN SCHN,0,0,7.1,6.3,0,2,1.01,5,25,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,E. Coli,1 x 10^5,,,,,1,1,1,19,0,0,0,0,
356037,3548CS,42634,E. coli hemolytic,E. Coli,2,S,K9-E PT,1,1,0,24.7,0,1,1.017,7,75,0,0,0,0,50,0.1,5,0,100,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,Hemolytic E. Coli,>1 x 10^5,,,,,0,0,0,0,0,0,0,0,
360259,5053CP,42417,Proteus mirabilis,Proteus,1,,K9-X,0,0,12.1,29.2,3,1,1.041,8,150,0,0,0,0,150,0,4.5,2,100,1,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,Proteus Mirabilis,1 x 10^5,,1 x 10^5,,,0,1,1,5,0,0,0,0,
361085,3618CS,42635,E. coli non-hemolytic,E. Coli,>8,R,K9-LAB,1,0,13.5,24.7,0,3,1.018,7,25,0,0,0,0,10,0,5,1,20,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,0,0,E. Coli,>1 x 10^5,,,,,1,3,0,0,0,0,0,0,
361900,7276CQ,42507,E. coli non-hemolytic,E. Coli,2,S,K9-HAVANESE,0,0,0,4.2,0,2,1.016,8,0,0,0,0,0,0,0,5,1,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,E. Coli,1 x 10^5,,,,,1,0,0,0,0,0,1,7,Nitroimidazole
363514,3706CP,42404,E. coli non-hemolytic,E. Coli,>1,Invalid,K9-DALM,0,0,8.5,19.4,1,3,1.014,6,75,0,0,0,0,10,0,5,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,1,1,1,7,0,0,0,0,
365858,1571CU,42794,E. coli non-hemolytic,E. Coli,4,S,K9-X/POOD/LAB,1,0,11.3,34.5,0,3,1.02,7,0,0,0,0,0,10,0,4,0,10,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,E. Coli,1 x 10^5,,,,,1,1,1,1,0,0,0,0,
370319,7041DF,43706,E. coli hemolytic,E. Coli,1,S,K9-E SPR SPAN,0,1,13.8,14,0,2,1.034,8,0,0,0,0,0,0,0,3.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,Hemolytic E. Coli,1 x 10^5,,,,,1,1,0,0,0,0,1,7,Cephalosporin
