Patient ID,Visit#,Date of Test,Organism,Organism Group,Ampicillin,Ampicillin_RSI,Amoxi/Clav,Amoxi/Clav_RSI,Oxacillin,Penicillin,Piper/Tazob,Cefazolin,Cefazolin_RSI,Cefovecin,Cefovecin_RSI,Cefpodoxime,Cefpodoxime_RSI,Ceftazadime,Cephalexin,Cephalothin,Amikacin,Amikacin_RSI,Gentamicin,Gentamicin_RSI,Chloramphenicol,Chloramphenicol_RSI,Doxycycline,Doxycycline_RSI,Minocycline,Minocycline_RSI,Tetracycline,Tetracycline_RSI,Enrofloxacin,Marbofloxacin,Orbifloxacin,Orbifloxacin_RSI,Pradofloxacin,Pradofloxacin_RSI,Trim/Sulfa,Trim/Sulfa_RSI,Clindamycin,Erythromycin,Nitrofurantoin,Nitrofurantoin_RSI,Vancomycin,Rifampin,Imipenem,Imipenem_RSI
394675,3646BO,39937,E. coli hemolytic,E. Coli,4,S,8,S,,,,,,,,,,,16,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
383247,4119BO,39940,E. coli hemolytic,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
376243,4391BO,39944,Escherichia coli,E. Coli,<=2,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,64,R,<=1,,,,,,<=4,R,,,,,,,,
397731,4538BO,39945,Escherichia coli,E. Coli,<=2,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
392825,4455BO,39946,Enterobacter cloacae,Enterobacteriaceae,8,,64,,,,,,,,,,,,32,,,,,,<=16,,,,,,<=2,,<=1,,,,,,<=4,,,,,,,,,
393601,4679BO,39946,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,4,S,<=1,,,,,,<=4,R,,,,,,,,
355249,4715BO,39947,Escherichia coli,E. Coli,8,S,8,S,,,,,,,,,,,16,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
397450,4961BO,39951,Escherichia coli,E. Coli,4,S,8,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
395681,5069BO,39951,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
396418,5171BO,39952,Enterococcus faecium,Enterococci,<=2,,<=2,,,,,,,,,,,,128,,,,,,64,,,,,,128,,<=1,,,,,,<=4,,,,,,,,,
398369,5205BO,39952,E. coli hemolytic,E. Coli,<=2,S,4,S,,,,,,,,,,,8,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
333941,341708M,39954,E. coli hemolytic,E. Coli,256,R,64,R,,,,,,,,,,,256,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
397313,5493BO,39954,Enterococcus faecium,Enterococci,64,,32,,,,,,,,,,,,>512,,,,,,<=16,,,,,,<=2,,16,,,,,,32,,,,,,,,,
398547,51014EM,39956,Escherichia coli,E. Coli,4,S,4,S,,,,,,,,,,,<=4,,,,,,<=16,Invalid,,,,,<=2,S,<=1,,,,,,<=4,R,,,,,,,,
